No,Kalimat,Pasien,Usia Pasien,Penyakit,Gejala,Kapan,Periode,Tindakan,Outcome,Pertanyaan,Pembuka,Penyebab,Prakondisi,Observasi,Objek,Penutup,Referensi,Artikel
23,"Pada dasarnya, berikut merupakan rentang normal berat badan bayi pada usia 5 bulan, yaitu: Perempuan: 5,4 - 8,6 kg Laki-laki: 6 - 9.3 kg",,,,,,,,,,,,,1,,,,
24,"Memang terdapat 'acuan' berat badan pada tahapan usia tertentu termasuk laju pertambahan berat badannya per bulan, namun selagi berat badan masih berada dalam rentang normal tersebut, hal ini relatif masih wajar. ",,,,,,,,1,,,,1,1,,,,
25,"Akan tetapi, apabila berat badan bayi berada di luar rentang tersebut, adanya keluhan seperti bayi sulit menyusu, tidak aktif, rewel, atau ada keluhan lain seperti demam, dll, periksakanlah bayi ke dokter spesialis anak, ya.",,,,1,,,1,,,,,,,,,,
26,"Dokter akan menanyakan riwayat keluhan secara lengkap, melakukan pemeriksaan fisik, dan pemeriksaan penunjang yang relevan sehingga dokter dapat menentukan penyebab kondisi yang bayi Anda alami dan memberikan terapi yang sesuai.",,,,,,,1,1,,,,,,,,,
27,Semoga informasi ini dapat membantu.,,,,,,,,,,,,,,,1,,
28,Salam.,,,,,,,,,,,,,,,1,,
29,Mulut bayi berbusa gelembung setelah minum susu apakah wajar ?,1,,,1,1,,,,1,,,,,,,,
30,"Alo, selamat siang bunda",,,,,,,,,,1,,,,,,,
31,Keluhan terdapat mulut berbusa gelembung pada bayi setelah konsumsi susu bisa menjadi suatu kondisi yang wajar dan tidak. ,,,,1,1,,,1,,,,,,,,,
32,Umumnya keluarnya cairan berbusa gelembung bisa jadi merupakan akibat susu yang tidak tertelan olehnya dan bercampur dengan air liurnya bisa disebut gumoh sebaiknya setelah bayi menyusu di sendawa kan bunda. ,,,,,1,,1,1,,,1,,,,,,
33,"Namun pastikan kondisi bayi saat keluarnya busa bergelembung tidak disertai dengan kondisi sesak napas, kejang dan keluhan lainnya. ",,,,1,1,,,,,,,,,,,,
34,Namun jika si bayi dalam keadaan sehat saja kemungkinan berupa suatu gumoh yang wajar ya bunda.,,,,,,,,1,,,,1,,,,,
35,"serta saya sarankan bunda tidak masalah coba merasakan susu yang dikonsumsi untuk bayi, jika konsumsi sufor pastikan kemasan susu tidak rusak, tidak berbatu atau berubah warna serta masa kadaluarsa tidak lewat. ",,,,,,,1,,,,,,,,,,
36,setelah konsumsi susu sendawa kan bayi dengan gendong bayi menghadap ke belakang dengan dada bayi letakan pada bahu ibu lalu kepala bayi disangga atau ditopang dengan tangan ibu lalu tepuk punggung bayi perlahan lahan sampai sendawa. ,,,,,1,,1,1,,,,,,,,,
37,namun jika keluarnya gelembung disertaui keluhan yang saya sebutkan diatas segara larikan anak ke UGD terdekat.,,,,,1,,1,1,,,,,,,,,
38,semoga dapat membantu,,,,,,,,,,,,,,,1,,
39,"Dok saya telah mengidap penyakit hypertiroid selama 2 tahun, saya baru saja melahirkan bayi prematur 30weeks dgn berat badan 1,200gram. ",,,,,,,,,,,1,,,,,,
40,"Beberapa hari setelah lahir bayi saya di cek darah 2kali untuk mengetahui apakah terkena hyper/hipotiroid dan hasilnya bagus, pda saat usia y 2bln dokter menganjurkan untuk cek darah kembali yaitu ft3,ft4,tsh dan hasilnya bagus dok, semua hormonnya normal.",1,1,,,1,,1,1,,,,,,,,,
41,Pertanyaan saya apakah untuk kedepannya bayi saya harus cek darah lagi atau tidak perlu lagi dok ?,,,,,,,,,1,,,,,,,,
42,"Alo, selamat sore",,,,,,,,,,1,,,,,,,
43,hipertiroid merupakan suatu kondisi dimana kadar hormon tiroid meningkat. ,,,1,1,,,,,,,,,,,,,
44,"kondisi hipertiroid pada ibu hamilakan menyebabkan peningkatan metabolisme dan kerja organ, termasuk jantung. ",,,,,,,,1,,,1,,,,,,
45,hipertiroid yang tidak ditangani bersiko menyebabkan kondisi salah satunya prematur. ,,,,,,,,1,,,1,,,,,,
46,ibu yang mengalami gangguan tiroid bisa berpengaruh pada janin maka diperlukan pemeriksaan tiroid pada bayi bunda. ,,,,,,,1,1,,,1,,,,,,
47,"umumnyaSkrining gangguan tiroid bisa dilakukan ketika bayi berusia 48–72 jam, atau setidaknya sebelum ia berusia 2 minggu.",,,,,1,,1,,,,,,,,,,
48," jika ternyata bayi mengalami gangguan tiroid, dokter akan segera memberikan perawatan agar tumbuh kembang bayi tidak terganggu.",,,,1,,,1,,,,,,,,,,
49,untuk kondisi bayi bunda sudah dilakukan pemeriksaan teroid dan semua dalam batas normal maka bunda tidak perlu khawatir untuk pemeriksaan ulang seperti tidak perlu ya bunda. ,,,,,,,1,,,,,1,,,,,
50,namun untuk memastikannya bunda bisa konsultasikan atau tanyakan langsung ke dokter anak yang menganjurkan sebelumnya.,,,,,,,1,,,,,,,,,,
51,semoga dapat membantu,,,,,,,,,,,,,,,1,,
52,"Hai Dok,Bayi saya berusia 8 bulan 2 minggu.",1,1,,,,,,,,1,,,,,,,
53,"Dalam kurun waktu 24 jam, bayi akan kencing lebih dari 20 kali, kadang dengan jeda waktu yang singkat.",,,,1,,1,,,,,,,,,,,
54,Sesekali terlihat bayi mengejan saat kencing.,,,,1,,,,,,,,,,,,,
55,"Sejauh ini bayi tidak rewel, masih aktif bermain & makan.",,,,1,,,,,,,,,,,,,
56,"Yang ingin saya tanyakan, apakah normal frekuensi kencing bayi saya?",,,,,,,,,1,,,,,,,,
57,Apakah itu merupakan indikasi tertentu?,,,,,,,,,1,,,,,,,,
58,Apakah ada hubungannya dengan bayi yang terlambat duduk?,,,,,,,,,1,,,,,,,,
59,Terimakasih.,,,,,,,,,,,,,,,1,,
60,"Alo, Terima kasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
61,"Frekuensi dan jumlah BAK bayi tergantung dari usia, berat badan, dan konsumsi cairan per harinya. ",,,,,,,,,,,,1,1,,,,
62,Bayi dapat BAK sesering setiap 1-3 jam sekali dan paling jarang setiap 4-6 jam sekali. ,,,,,,1,,,,,,,,,,,
63,"Pada prinsipnya, jumlah pengeluaran urin yang diharapkan setiap harinya adalah sekitar 1-2ml/kgBB/jam. ",,,,,,,,,,,,,1,,,,
64,"Selain itu, terdapat faktor yang mempengaruhi frekuensi dan jumlah BAK ini, seperti kondisi dehidrasi, infeksi saluran kemih, gangguan ginjal, riwayat konsumsi minuman/makanan tertentu, dan lainnya.",,,,,,,,1,,,1,,,,,,
65,"Pada prinsipnya, apabila pengeluaran urin masih sesuai dengan berat badan bayi, urin tampak jernih dan tidak kuning pekat, tidak terdapat tanda dehidrasi (mulut kering, mata cowong, ubun-ubun cekung, bayi tampak haus, cubitan perut lambat), bayi masih aktif dan mau makan/minum, serta tidak terdapat gejala lain yang signifikan (bayi rewel, muncul darah pada urin, demam, ruam, dll), Anda tidak perlu khawatir. ",,,,1,,,1,,,,,1,,,,,
66,"Namun, apabila Anda ingin melakukan evaluasi lebih lanjut atau tanda dan gejala tersebut muncul, sebaiknya periksakan bayi ke dokter spesialis anak, ya.",,,,,,,1,,,,,1,,,,,
67,Dokter akan melakukan evaluasi lebih lanjut terkait dengan kondisi bayi Anda dan memberikan terapi yang sesuai.,,,,,,,1,,,,,,,,,,
68,Semoga informasi ini dapat membantu.,,,,,,,,,,,,,,,1,,
69,Salam.,,,,,,,,,,,,,,,1,,
70,"Byi saya umur 48hri dok, dia demam. ",1,1,1,,,,,,,,,,,,,,
71,"Jadi sya cek suhu mengunakan termometer digital di ketiak suhu nya mencapai 38,2 tapi pada malam hari turun ke 37,7 nah sampe keesokan hari nya suhu y tetap 37,7. ",,,,,,,,,,,,,1,1,,,
72,"Apakah harus di bawa ke rumah sakit karena seharian penuh suhunya tetap 37,7",,,,,,,,,1,,,,,,,,
73,"Alo, terimakasih atas pertanyaannya.",,,,1,,,,,,,1,,,,,,
74,"Demam naik turun pada bayi usia 48 hari paling sering terjadi karena suatu infeksi, misalnya oleh virus, bakteri, atau mikroorganisme lainnya. ",,,1,1,,,,,,,1,,,,,,
75,"Bukan itu saja, demam seperti ini bisa juga terjadi karena efek samping imunisasi, paparan cuaca yang ekstrim, gangguan peradangan, kelainan autoimun, gangguan hormon, dan banyak lagi gangguan medis yang lain.",,,1,,,,,,,,1,,,,,,
76,"Jika baru 1 hari ini keluhan bayi Anda terjadi, sebaiknya jangan panik dulu. ",,,,,,1,1,,,,,,,,,,
77,"Supaya membaik, Anda bisa coba lakukan:",,,,,,,1,1,,,,,,,,,
78,•	Beri ia obat paracetamol sesuai dosis anjuran,,,,,,,1,,,,,,,1,,,
79,•	Kompres hangat tubuhnya dan kenakan padanya pakaian yang menyerap keringat,,,,,,,1,,,,,,,1,,,
80,•	Susui ia ASI sering-sering,,,,,,,1,,,,,,,,,,
81,•	Perbanyak kontak fisik skin to skin dengannya,,,,,,,1,,,,,,,,,,
82,•	Jaga kebersihan lingkungan sekitar bayi,,,,,,,1,,,,,,,,,,
83,•	Jauhkan ia dari orang yang sakit menular,,,,,,,1,,,,,,,,,,
84,"Apabila hingga 3 hari demamnya tidak reda juga, atau muncul keluhan yang berat seperti kejang, kaku kuduk, ruam kulit, muntah, diare, dan sebagainya, Anda bisa periksakan bayi Anda langsung ke dokter atau dokter anak terdekat agar ditangani dengan tepat sesuai penyebabnya ya.. ",,,,1,,1,1,1,,,,,,,,,
85,"Pada beberapa kasus, dokter mungkin akan mengarahkan bayi Anda agar menjalani tes darah, tes urin, atau tes penunjang lainnya.",,,,,,,1,,,,,,,,,,
86,Semoga membantu.,,,,,,,,,,,,,,,1,,
87,Saya punya bayi umur 6 bulan kurang 10 hari. ,1,1,,,,,,,,,,,,,,,
88,Masih ASI Eksklusif... bbrp kali setiap BAB seperti ada jentik² tapi kotoran nya masih terlihat normal warna nya seperti biasa. ,,,,1,,,,,,,,1,,,,,
89,Hanya kotoran berupa jentik itu yg agak mengganggu..,,,,1,,,,,,,,,,,,,
90,dia pun bis BAB 4 hari sekali. ,,,,1,,,,,,,,,,,,,
91,Apa ada solusi dok?,,,,,,,,,1,,,,,,,,
92,"Alo,
Terima kasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
93,Pada dasarnya perubahan frekuensi dan karakteristik BAB pada bayi berusia 6 bulan merupakan hal yang relatif wajar terjadi. ,,,,1,,,,1,,,,,,,,,
94,"Adapun adanya tampakan jentik dapat disebabkan oleh beberapa kemungkinan penyebab, seperti konstipasi, infeksi saluran cerna, maupun kontaminasi pada feses.",,,,1,,,,,,,1,,,,,,
95,"Sehingga, perlu diperhatikan beberapa tanda dan gejala lainnya yang dialami oleh bayi.",,,,,,,1,,,,,,,,,,
96,"Pada prinsipnya, apabila bayi BAB kurang dari 1 minggu sekali, tampak tidak nyaman ketika BAB, tinja keras dan kering, perut terasa lebih keras, keinginan menyusu menurun, dan terjadi perubahan konsistensi tinja, periksakanlah bayi Anda ke dokter spesialis anak, ya.",,,,1,,,1,,,,,,,,,,
97,"Dokter akan menanyakan riwayat keluhan secara lengkap, melakukan pemeriksaan fisik, dan pemeriksaan penunjang yang relevan sehingga dokter dapat menentukan penyebab kondisi yang bayi Anda alami dan memberikan terapi yang sesuai.",,,,,,,1,1,,,,,,,,,
98,Semoga informasi ini dapat membantu.,,,,,,,,,,,,,,,1,,
99,Salam.,,,,,,,,,,,,,,,1,,
100,Bayi saya berusia 1 bulan 10 hari. ,1,1,,,,,,,,,,,,,,,
101,"Biasanya sering menggeliat saat nangis, sekaligus sering kali seperti mual ingin muntah, saat tidur seperti gelisah, kadang tiba² jadi pilek. ",,,,1,,,,,,,,,,,,,
102,"Hampir 2 mingguan pagi - sore tidurnya jadi susah banget, itu kenapa ya dok??",,,,1,,1,,,1,,,,,,,,
103,"Alo,
Terima kasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
104,"Pada dasarnya, bayi menggeliat merupakan hal yang relatif normal. ",,,,1,,,,1,,,,,,,,,
105,"Namun, hal ini juga dipengaruhi oleh banyak hal, seperti bayi kelelahan, perut kembung, efek terlalu lama digendong, bayi tidak bisa sendawa, bayi kembung, posisi terlentang terlalu lama, lapisan kain bayi terlalu kencang, dan sebagainya. ",,,,,,,,,,,1,,,,,,
106,"Selain itu, durasi tidur yang normal pada bayi 1 bulan adalah sekitar 14-16 jam per hari yang biasanya terbagi menjadi 8-9 jam untuk tidur malam dan 6-7 jam untuk tidur siang.",,,,1,,,,,,,,,,,,,
107,"Sehingga, pada prinsipnya, apabila tidak terdapat gejala atau keluhan lain yang signifikan dan apabila bayi tidur dengan frekuensi dan durasi yang masih di dalam rentang normal, Anda tidak perlu khawatir. ",,,,,,,1,,,,,1,,,,,
108,"Adapun periksakanlah bayi ke dokter apabila muncul keluhan seperti wajah memerah, bayi selalu menangis seperti kesakitan, pilek/batuk berkepanjangan, maupun demam.",,,,1,,,1,,,,,,,,,,
109,Dokter akan melakukan evaluasi lebih lanjut terkait dengan kondisi bayi Anda dan memberikan terapi yang sesuai.,,,,,,,1,,,,,,,,,,
110,Semoga informasi ini dapat membantu.,,,,,,,,,,,,,,,1,,
111,Salam.,,,,,,,,,,,,,,,1,,
112,"Halo dok,anak saya usianya baru 3bulan ketika saya gendong diposisikan berdiri supaya bersendawa tapi saat di gendong pada posisi itu seperti susah bernafas kenapa ya dok?",1,1,,,,,1,1,1,,,,,,,,
113,"Alo, selamat malam",,,,,,,,,,1,,,,,,,
114,"untuk mencegah bayi mengalami gumoh, kembung, hingga rewel karena kolik akibat setelah menyusui dianjurkan untuk menyendawakan bayi, namun melakukan teknik yang salah mala dapat menyebabkan bayi merasa tidak nyaman. ",,,,1,,,1,1,,,1,,,,,,
115,ada beberapa cara untuk menyendawakan bayi yaitu :,,,,,,,1,,,,,,,,,,
116,"•	posisi di gendong tegak : bunda duduk tegak dan gendong si kecil meghadap bunda, posisikan dagu si kecil di atas pundak bunda dan topangbadannya dari bawah dengan salah satu tangan. ",,,,,,,1,,,,,,,,,,
117,lalu gunakan tangan Bunda yang satunya lagi untuk mengusap atau menepuk punggung Si kecil secara pelan dan lembut.,,,,,,,1,,,,,,,,,,
118,"•	posisi tengkurap : tidurkan si kecil di lengan atau pangkuan bunda pada posisi tengkurap, lalu sangga dan posisikan kepala lebih tinggi dari badannya lalu tepuk atau usap punggungnya secara perlahan",,,,,,,1,,,,,,,,,,
119,"umumnya jika melakukan posisi dengan benar tidak akan menyebabkan anak mengalami susah bernapas, pastikan tidak menekan perut atau dada si bayi, lakukan sendawa sebaiknya selama 1-2 menit saja jika 2 menit tidak sendawa maka hentikan. ",,,,,,,1,1,,,,1,,,,,
120,jika memang bayi terlihat tidaknya melakukan posisi pertama lakukan dengan posisi yang lain,,,,,,,1,1,,,,,,,,,
121,semoga dapat membantu,,,,,,,,,,,,,,,1,,
122,selamat malam dokter.,,,,,,,,,,1,,,,,,,
123,"anak saya usia 16 bulan, kalau dia sedang merasa gemas/mulai jengkel, bibirnya bergetar. ",1,1,,1,,,,,,,,,,,,,
124,apakah wajar ? ,,,,,,,,,1,,,,,,,,
125,apakah bisa sembuh dengan sendirinya ?,,,,,,,,,1,,,,,,,,
126,"Alo, selamat malam bunda",,,,,,,,,,1,,,,,,,
127,keluhan bibir bayi gemetaran setiap kali ini merasa jengkel kondisi ini umumnya wajar akibat karena ia emosinya keluar dan saat usia ini perkembangan sistem saraf bayi belum sempurna sepenuhnya sehingga refleks bayi jadi berlebihan saat merespon reaski. ,,,,1,,,,1,,,1,,,,,,
128,"umumnya kondisi ini akan hilang dengan sendirinya seiring bertambahnya usia, namun jika bibir gemetar terus berlanjut hingga pertambahan usianya, disertai dengan penurunan kesadaran, perubahan suhu badan yang drastis seperti demam terlalu tinggi maka segera membawa anak ke dokter terdekat untuk mendapatkan pemeriksaan lebih lanjut serta penangnan yang tepat.",,,,1,,,1,1,,,,1,,,,,
129,"saran saya tetap berikan asupan makan yang bergizi, lanjutkan konsumsi ASI selama 2 tahun, berikan waktu istirahat yang cukup.",,,,,,1,1,,,,,,,,,,
130,semoga dapat membantu,,,,,,,,,,,,,,,1,,
131,"Siang dokKemarin pagi jam 7 pagi bayi sya brusia 7 bulan jatuh dri tmpt tidur dlm posisi tengkurap,",1,1,,,1,,,,,1,1,,,,,,
132,"kondisi saat ini bayi sya dlm kondisi pilek dan batuk berdahak,",,,1,,,,,,,,,,,,,,
133,"ketika jatuh dri tmpt tdur bayi sya langsung nangis dan sya diam kan,",,,,,,,,1,,,,,,,,,
134,sya cek tdk ada luka dan memar,,,,,,,,1,,,,,,,,,
135,"Nah hri ini jam 10.30 tdi anak sya ketika menyusu batuk dan muntah bnyk bngt,",,,,1,1,,,,,,,,,,,,
136,"sya lihat muntah nya berwarna putih dan ada kayak lendir putih bening gitu,",,,,1,,,,,,,,,,,,,
137,"sya gak tau apakah itu dahak atau apa,",,,,,,,,,,,,,,,,,
138,"krna pgi ini bayi sya batuk brdahak nya lmyn kuat,",,,,,,,,1,,,,,,,,,
139,"wlwpn udh minum obat dokter msi btuk brdahak,",,,,,,,,,,,,1,,,,,
140,jadi gimana kondisi bayi sya ya dok?,,,,,,,,,1,,,,,,,,
141,apakah amanStelah muntah lngsung sya ksi asi lgi dan dia tertidur,,,,,,,,,1,,,,,,,,
142,Terima kasih atas pertanyaannya di Alodokter.,,,,,,,,,,1,,,,,,,
143,"Kondisi cedera pada bayi bisa merupakan kondisi yang serius, misalnya menyebabkan adanya perdarahan di dalam otak. ",,,,,,,,1,,,1,,,,,,
144,"Perdarahan ini bisa membuat peningkatan tekanan intrakranial sehingga bayi bisa muntah, kejang, lumpuh, ubun-ubun tegang, dan gangguan-gangguan lainnya.",,,,1,,,,1,,,1,,,,,,
145,"Saya menyarankan setelah bayi terjatuh sebaiknya segera dibawa ke dokter untuk dievaluasi secara langsung karena bila terdapat perdarahan di otak dan tidak ditangani segera, maka berisiko mengganggu pertumbuhan dan perkembangan serta bisa berakhir kematian.",,,,,,,1,1,,,1,,,,,,
146,Anda bisa memberikan ASI setelah 15 menit dari waktu muntahnya.,,,,,1,,1,,,,,,,,,,
147,"Bila muntah terjadi terus menerus dan banyak, perhatikan tanda-tanda dehidrasi seperti mata cekung, ubun-ubun cekung, tampak kehausan hingga tidak mau minum sama sekali, dan lemas. ",,,,1,,,1,,,,,1,,,,,
148,Apabila Anda menemukan tanda-tanda ini sebaiknya juga segera dibawa ke IGD RS terdekat.,,,,,,,1,,,,,1,,,,,
149,Semoga membantu.,,,,,,,,,,,,,,,1,,
150,"dok, bayi saya usia 3.5bulan , beberapa hari belakangan ini saya sering melihat dia mengigit-gigit lidahnya seperti sedang mengunyah sesuatu.",1,1,,1,,1,,,,,,,,,,,
151,apa itu tidak berbahaya untuk dia dok?,,,,,,,,,1,,,,,,,,
152,"Selamat malam, terima kasih telah bertanya di Alodokter. ",,,,,,,,,,1,,,,,,,
153,"Menggigit lidah memang terkesan suatu hal yang berbahaya terutama bila dilakukan oleh orang yang memang berencana menyakiti dirinya, namun pada kondisi normal, apalagi pada bayi ini tidak masalah.",,,,1,,,,1,,,,1,,,,,
154,"Sebab pertama, yang membahayakan bagi lidah itu adalah gigi kita, sementara bayi seusianya harusnya belum memiliki gigi. ",,,,,,,,1,,,1,1,,,,,
155,"Kedua, kalaupun ia memiliki gigi, seperti yang kami sampaikan sebelumnya, inilah bedanya dengan orang yang memang berencana menyakiti diri sendiri, ketika sudah sampai pada tahapan tertentu dimana gigitannya terlalu keras, ia pasti akan secara reflek menghentikan gigitannya, sama seperti ketika kita tidak sengaja menggigit lidah ketika sedang makan. ",,,,,,,,1,,,1,1,,,,,
156,Jadi tubuh memang memiliki caranya sendiri untuk menghindari kerusakan jaringan tubuh akibat perilaku kita.,,,,,,,,1,,,,1,,,,,
157,"Maka Anda tidak perlu cemas, mungkin ia hanya sedang merasakan sensasi lidahnya dan menganggap itu sebagai mainan yang lunak. ",,,,,,,1,,,,1,,,,,,
158,"Meski begitu jika Anda melihat tindakan lain yang menurut Anda mencemaskan, perkembangannya dan pertumbuhannya nampak tertinggal dari anak seusianya atau ada gejala lain, jangan ragu untuk memeriksakan diri ke dokter. ",,,,1,,,1,,,,,1,,,,,
159,"Sekian, semoga menjawab pertanyaan Anda.",,,,,,,,,,,,,,,1,,
160,"Pagi dok saya mau tanya, bayi saya setelah dpt 1 selalu nangis tidak mau menyusu dan hidungnya berbunyi seperti tersumbat, semalaman nangis dan bab berwarna putih berbau nanah, apa itu normal dok?",1,,,1,,,,,1,1,,1,,,,,
161,"Alo, terimakasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
162,"Imunisasi DPT bisa membantu meningkatkan kekebalan bayi terhadap 3 jenis penyakit, yakni difteri, pertusis, dan tetanus. ",,,1,,,,1,1,,,,,,,,,
163,"Ketiga penyakit ini, sekilas gejala awalnya ringan. Namun, jika terlambat terdeteksi dan tertangani, ketiganya bisa sangat mematikan.",,,,1,,,,1,,,,1,,,,,
164,"Seringnya, asalkan diberikan saat bayi dalam kondisi fit, imunisasi DPT jarang menimbulkan efek samping serius.",,,,,,,1,1,,,,1,,,,,
165,"Hanya saja, respons sistem imun saat habis diimunisasi memang bisa membuat bayi demam, bekas suntik imunisasinya meradang, hingga akhirnya rewel berlebihn bahkan hingga malas menyusu. ",,,,1,1,,,,,,1,,,,,,
166,"Akan tetapi, jika keluhan bayi Anda muncul juga disertai hidung berbunyi tidak wajar seperti tersumbat dan BAB berwarna keputihan berbau tidak sedap, tentu ada faktor lain yang memperparahnya (tidak murni karena efek imunisasinya), misalnya karena infeksi saluran pernapasan, infeksi saluran pencernaan, infeksi sistem organ lain, radang usus, alergi, gangguan hati, gangguan kantung atau radang empedu, malabsorpsi karbohidrat, refluks asam lambung, dan sebagainya.",,,,1,,,,,,,1,,,,,,
167,"Saran kami, kondisi bayi Anda diperiksakan saja langsung ke dokter atau dokter anak terdekat.",,,,,,,1,,,,,,,,,,
168,"Lewat pemeriksaan fisik langsung, atau dibarengi tes darah, tes feses, USG, dan tes penunjang lainnya, seringnya dokter sudah bisa menentukan tatalaksana yang tepat.",,,,,,,1,,,,,,,,,,
169,"Sementara itu, Anda bisa juga lakukan:",,,,,,,1,,,,,,,,,,
170,•	Tetap tawarkan bayi menyusu sering-sering,,,,,,,1,,,,,,,,,,
171,•	Mandikan ia pagi dan sore hari agar tubuhnya bersih dan rileks,,,,,,1,1,1,,,,,,,,,
172,•	Jaga bekas suntik imunisasinya agar tetap bersih,,,,,,,1,1,,,,,,,,,
173,•	Kenakan padanya pakaian yang longgar dan lembut bahannya,,,,,,,1,,,,,,,,,,
174,•	Buat jadwal tidur dan bangun bayi yang teratur setiap harinya,,,,,,1,1,,,,,,,,,,
175,•	Jaga agar lingkungan sekitar bayi selalu bersih,,,,,,,1,,,,,,,,,,
176,•	Tidak dulu sembarangan memberi bayi susu atau makanan dan minuman tambahan selain ASI tanpa rekomendasi dokter jika usianya belum genap 6 bulan,,,,,,,1,,,,,1,,1,,,
177,Semoga membantu ya..,,,,,,,,,,,,,,,1,,
178,"halo dok, bayi saya berumur 2 bulan 2 minggu belum melakukan imunisasi BCG karena bayi saya prematur dan harus dirawat di RS sampai umur 1,5 bulan, apakah bayi saya harus melakukan tes mantoux terlebih dahulu sebelum imunisasi BCG? ",1,1,,,,1,1,,1,1,1,,,,,,
179,terimakasih dok,,,,,,,,,,,,,,,1,,
180,"Alo, terimakasih atas pertanyaannya.",,,,,,,,,,1,,,,,,,
181,"Imunisasi BCG bisa membuat bayi Anda lebih kebal terhadap penyakit tuberkulosis, yakni suatu penyakit kronis yang disebabkan oleh infeksi sejenis bakteri bernama Mycobacterium tuberculosis. ",,,1,,,,1,1,,,1,,,,,,
182,"Mengingat tingginya prevalensi penyakit ini di negara kita, idealnya setiap bayi diimunisasi BCG di usia 1 bulan.",,,,,1,,1,,,,1,,,,,,
183,"Dengan kondisi bayi Anda yang belum diimunisasi BCG di usianya yang sudah 2 bulan 2 minggu, memang hal ini tergolong terlambat.",,,,,1,,1,1,,,,,,,,,
184,"Meski begitu, sebelum usianya genap 3 bulan, imunisasi tetap bisa diberikan tanpa perlu tes Mantoux terlebih dulu.",,,,,1,,1,,,,,1,,,,,
